-6.51,-4.5,-1.3
-6.51,-3,-1.3
-6.51,-1.5,-1.3
-6.51,0,-1.3
-6.51,1.5,-1.3
-6.51,3,-1.3
-6.51,4.5,-1.3
-4.88,-4.5,-1.3
-4.88,-3,-1.3
-4.88,-1.5,-1.3
-4.88,0,-1.3
-4.88,1.5,-1.3
-4.88,3,-1.3
-4.88,4.5,-1.3
-3.25,-4.5,-1.3
-3.25,-3,-1.3
-3.25,-1.5,-1.3
-3.25,0,-1.3
-3.25,1.5,-1.3
-3.25,3,-1.3
-3.25,4.5,-1.3
-1.62,-4.5,-1.3
-1.62,-3,-1.3
-1.62,-1.5,-1.3
-1.62,0,-1.3
-1.62,1.5,-1.3
-1.62,3,-1.3
-1.62,4.5,-1.3
1.59,-4.5,-1.3
1.59,-3,-1.3
1.59,-1.5,-1.3
1.59,0,-1.3
1.59,1.5,-1.3
1.59,3,-1.3
1.59,4.5,-1.3
3.23,-4.5,-1.3
3.23,-3,-1.3
3.23,-1.5,-1.3
3.23,0,-1.3
3.23,1.5,-1.3
3.23,3,-1.3
3.23,4.5,-1.3
4.86,-4.5,-1.3
4.86,-3,-1.3
4.86,-1.5,-1.3
4.86,0,-1.3
4.86,1.5,-1.3
4.86,3,-1.3
4.86,4.5,-1.3
6.49,-4.5,-1.3
6.49,-3,-1.3
6.49,-1.5,-1.3
6.49,0,-1.3
6.49,1.5,-1.3
6.49,3,-1.3
6.49,4.5,-1.3
